Make,Manufacturer Name,Model,Model Year,Plant City,Vehicle Type,Plant Country,Plant State,Body Class,Gross Vehicle Weight Rating From,Cab Type,Trailer Type Connection,Trailer Body Type,Drive Type,Brake System Type,Engine Number of Cylinders,Displacement (CC),Displacement (CI),Displacement (L),Engine Power (kW),Fuel Type - Primary,Valve Train Design,Engine Configuration,Engine Brake (hp) From,Engine Brake (hp) To,Other Engine Info,Engine Manufacturer,Seat Belt Type,Front Air Bag Locations,NCSA Body Type,NCSA Make,NCSA Model,Bus Floor Configuration Type,Bus Type,Custom Motorcycle Type,Motorcycle Suspension Type,Motorcycle Chassis Type,
GMC,GENERAL MOTORS LLC,Sierra,2006,OSHAWA TRUCK,TRUCK ,CANADA,ONTARIO,Pickup,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",Crew/ Super Crew/ Crew Max,Not Applicable,Not Applicable,4x2,Hydraulic,8,4800,292.9139717,4.8,,Gasoline,,V-Shaped,,,"MFI, Iron, 8Cyl",GM,,,Light Pickup,GMC,"C, K, R, V-series pickup/     Sierra",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
FORD,"FORD MOTOR COMPANY, USA",Explorer,2000,LOUISVILLE,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),KENTUCKY,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,Not Applicable,Not Applicable,4x2,,6,4000,244.0949764,4,152.8685,Gasoline,Single Overhead Cam (SOHC),V-Shaped,205,,EFI,Ford,Manual,1st Row (Driver and Passenger),Compact Utility (Utility Vehicle Categories "Small" and "Midsize"),Ford,"Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
NISSAN,"NISSAN NORTH AMERICA, INC.",Altima,2006,SMYRNA,PASSENGER CAR,UNITED STATES (USA),TENNESSEE,Sedan/Saloon,,Not Applicable,Not Applicable,Not Applicable,4x2,,4,2500,152.5593602,2.5,,Gasoline,Dual Overhead Cam (DOHC),In-Line,,,,Nissan,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Nissan/Datsun,Altima,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
NISSAN,"NISSAN NORTH AMERICA, INC.",Murano,2015,CANTON,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),MISSISSIPPI,Crossover Utility Vehicle (CUV),"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,Not Applicable,Not Applicable,4x2,,6,3500,213.5831043,3.5,,Gasoline,,,,,,,Manual,1st Row (Driver and Passenger),Station Wagon (excluding van and truck based),Nissan/Datsun,"Murano (For 2003-2018 only.  For model years 2019 on, see 35-422.)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
MAZDA,MAZDA MOTOR MANUFACTURING DE MEXICO S.A. DE C.V.,CX-30,2020,SALAMANCA,MULTIPURPOSE PASSENGER VEHICLE (MPV),MEXICO,GUANAJUATO,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,Not Applicable,Not Applicable,4x2,,4,2500,152.5593602,2.5,138.7002,Gasoline,Dual Overhead Cam (DOHC),In-Line,186,,,Mazda,Manual,1st Row (Driver and Passenger),Compact Utility (Utility Vehicle Categories "Small" and "Midsize"),Mazda,Other (light truck),Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
NISSAN,"NISSAN MEXICANA, S.A. DE C.V.",Versa,2018,AGUASCALIENTES,PASSENGER CAR,MEXICO,AGUASCALIENTES,Sedan/Saloon,,Not Applicable,Not Applicable,Not Applicable,4x2,,4,1600,97.63799055,1.6,81.2813,Gasoline,,In-Line,109,,,,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Nissan/Datsun,Versa,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
HONDA,"AMERICAN HONDA MOTOR CO., INC.",CR-V,2019,GREENSBURG,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),INDIANA,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,Not Applicable,Not Applicable,4x2,,4,1500,91.53561614,1.5,141.683,Gasoline,Dual Overhead Cam (DOHC),In-Line,190,,Direct Fuel Injection,Honda,Manual,1st Row (Driver and Passenger),Compact Utility (Utility Vehicle Categories "Small" and "Midsize"),Honda,CR-V,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
FORD,"FORD MOTOR COMPANY, USA",F-550,2013,JEFFERSON COUNTY,INCOMPLETE VEHICLE,UNITED STATES (USA),KENTUCKY,Incomplete - Chassis Cab (Single Cab),"Class 5: 16,001 - 19,500 lb (7,258 - 8,845 kg)",Extra/Super/ Quad/Double/King/Extended,Not Applicable,Not Applicable,4x2,Hydraulic,10,6800,414.9614598,6.8,269.9434,Gasoline,,V-Shaped,362,,3V,Ford,Manual,1st Row (Driver and Passenger),"Single-unit straight truck or Cab-Chassis (GVWR range 10,001 to 19,500 lbs.)",Ford,Medium/Heavy – CBE,,,Not Applicable,Not Applicable,Not Applicable,
CHEVROLET,GENERAL MOTORS LLC,Silverado,2013,FORT WAYNE,TRUCK ,UNITED STATES (USA),INDIANA,Pickup,"Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)",Extra/Super/ Quad/Double/King/Extended,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,Hydraulic,8,6000,366.1424646,6,,Gasoline,,V-Shaped,,,,,Manual,1st Row (Driver and Passenger),Light Pickup,Chevrolet,"C, K, R, V-series pickup/Silverado",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
DODGE,FCA CANADA INC.,Charger,2014,,PASSENGER CAR,,,Sedan/Saloon,,Not Applicable,Not Applicable,Not Applicable,RWD/Rear-Wheel Drive,,6,3600,219.6854787,3.6,,Gasoline,,,,,,,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Dodge,Charger,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
HYUNDAI,HYUNDAI-KIA AMERICA TECHNICAL CENTER INC (HATCI),Santa Fe Sport,2018,,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),ALABAMA,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,Not Applicable,Not Applicable,4x2,,4,2400,146.4569858,2.4,137.9545,Gasoline,Dual Overhead Cam (DOHC),,185,,,HMC,Manual,1st Row (Driver and Passenger),Compact Utility (Utility Vehicle Categories "Small" and "Midsize"),Hyundai,Santa Fe,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
LEXUS,TOYOTA MOTOR CORPORATION,RX,2002,MIYAWAKA,MULTIPURPOSE PASSENGER VEHICLE (MPV),JAPAN,FUKUOKA,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,,6,3000,183.0712323,3,137.2088,Gasoline,,V-Shaped,184,217,,Toyota,,,Compact Utility (Utility Vehicle Categories "Small" and "Midsize"),Lexus,RX300/350,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
DODGE,CHRYSLER DE MEXICO TOLUCA,Ram,2009,,TRUCK ,,,Pickup,"Class 3: 10,001 - 14,000 lb (4,536 - 6,350 kg)",,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,Hydraulic,6,6700,408.8590854,6.7,,Diesel,,,,,Sales code:ETJ,,Manual,1st Row (Driver and Passenger),"Medium/heavy Pickup (GVWR greater than 10,000 lbs.)",Dodge,"Medium/Heavy Pickup (pickup-style only – over 10,000 lbs)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
TOYOTA,"TOYOTA MOTOR MANUFACTURING, MISSISSIPPI, INC.",Corolla,2017,,PASSENGER CAR,UNITED STATES (USA),MISSISSIPPI,Sedan/Saloon,,Not Applicable,Not Applicable,Not Applicable,FWD/Front-Wheel Drive,,4,1798,109.8427394,1.8,98.4324,Gasoline,Dual Overhead Cam (DOHC),In-Line,132,148,,Toyota,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Toyota,Corolla,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
HONDA,"HONDA OF THE U.K. MFG., LTD.",Civic,2019,SWINDON,PASSENGER CAR,UNITED KINGDOM (UK),WILTSHIRE,Hatchback/Liftback/Notchback,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",Not Applicable,Not Applicable,Not Applicable,4x2,,4,1500,91.53561614,1.5,134.226,Gasoline,Dual Overhead Cam (DOHC),In-Line,180,,,Honda,Manual,1st Row (Driver and Passenger),5-door/4-door hatchback,Honda,"Civic/CRX, del Sol",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
FORD,"FORD MOTOR COMPANY, USA",E-250,2010,AVON LAKE,TRUCK ,UNITED STATES (USA),OHIO,Cargo Van,"Class 2G: 8,001 - 9,000 lb (3,629 - 4,082 kg)",,Not Applicable,Not Applicable,4x2,Hydraulic,8,5400,329.5282181,5.4,190.1535,Gasoline,,V-Shaped,255,,Displacement is 5.4L 2V,,Manual,1st Row (Driver and Passenger),"Large Van-Includes van-based buses (B150-B350, Sportsman, Royal Maxiwagon, Ram, Tradesman,...)",Ford,E-Series Van/Econoline,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
TOYOTA,"TOYOTA MOTOR MANUFACTURING, INDIANA, INC.",Highlander,2018,,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),INDIANA,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,Not Applicable,Not Applicable,4x2,,6,3500,213.5831043,3.5,219.9815,Gasoline,Dual Overhead Cam (DOHC),V-Shaped,295,,PORT+DIRECT,Toyota,Manual,1st Row (Driver and Passenger),Compact Utility (Utility Vehicle Categories "Small" and "Midsize"),Toyota,Highlander,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
CHEVROLET,GENERAL MOTORS LLC,Silverado,2008,FLINT,TRUCK ,UNITED STATES (USA),MICHIGAN,Pickup,"Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)",,Not Applicable,Not Applicable,4x2,Hydraulic,8,6000,366.1424646,6,271.4348,Gasoline,,V-Shaped,364,,,GM,,,Light Pickup,Chevrolet,"C, K, R, V-series pickup/Silverado",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
CHEVROLET,GENERAL MOTORS LLC,Impala,2011,OSHAWA #2,PASSENGER CAR,CANADA,ONTARIO,Sedan/Saloon,,Not Applicable,Not Applicable,Not Applicable,,,6,3500,213.5831043,3.5,,Flexible Fuel Vehicle (FFV),Overhead Valve (OHV),V-Shaped,,,OFFSET BORE,GM,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Chevrolet,"Impala/Caprice (For SS from 2014 on, use 20-021.)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
KIA,HYUNDAI-KIA AMERICA TECHNICAL CENTER INC (HATCI),,2003,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
FORD,"FORD MOTOR COMPANY, USA",Ranger,2019,WAYNE,TRUCK ,UNITED STATES (USA),MICHIGAN,Pickup,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",Crew/ Super Crew/ Crew Max,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,Hydraulic,,2300,140.3546114,2.3,,Gasoline,,,,,TIVCT 4V,Ford,Manual,1st Row (Driver and Passenger),Light Pickup,Ford,Ranger,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
CADILLAC,GENERAL MOTORS LLC,Escalade,2017,ARLINGTON,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),TEXAS,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)",,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,Hydraulic,8,6200,378.3472134,6.2,,Gasoline,,,,,,GM,Manual,1st Row (Driver and Passenger),Large utility (ANSI D16.1 Utility Vehicle Categories and "Full Size" and "Large"),Cadillac,Escalade/ESV (from 2004 on; see 431 for 2003 only),Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
PONTIAC,GENERAL MOTORS LLC,G6,2008,ORION,PASSENGER CAR,UNITED STATES (USA),MICHIGAN,Sedan/Saloon,,Not Applicable,Not Applicable,Not Applicable,,,6,3500,213.5831043,3.5,,Gasoline,Overhead Valve (OHV),V-Shaped,,,,GM,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Pontiac,G6,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
GMC,GENERAL MOTORS LLC,Yukon,2013,ARLINGTON,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),TEXAS,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)",,Not Applicable,Not Applicable,RWD/Rear-Wheel Drive,Hydraulic,8,6200,378.3472134,6.2,,Gasoline,,,,,,,Manual,1st Row (Driver and Passenger),Large utility (ANSI D16.1 Utility Vehicle Categories and "Full Size" and "Large"),GMC,Suburban/Yukon XL (2004 on; see 431 for 1950- 2003),Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
HONDA,"AMERICAN HONDA MOTOR CO., INC.",Civic,2000,EAST LIBERTY,PASSENGER CAR,UNITED STATES (USA),OHIO,Coupe,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",Not Applicable,Not Applicable,Not Applicable,,,4,1589.545208,97,1.589545208,79.0442,Gasoline,Single Overhead Cam (SOHC),In-Line,106,,,,Manual,1st Row (Driver and Passenger),"2-door sedan,hardtop,coupe",Honda,"Civic/CRX, del Sol",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
LEXUS,"TOYOTA MOTOR MANUFACTURING, KENTUCKY, INC.",ES,2019,,PASSENGER CAR,UNITED STATES (USA),KENTUCKY,Sedan/Saloon,,Not Applicable,Not Applicable,Not Applicable,4x2,,6,3500,213.5831043,3.5,224.4557,Gasoline,,V-Shaped,301,,PORT + DIRECT,,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Lexus,ES-250/300/300h/330/ 350,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
HONDA,"AMERICAN HONDA MOTOR CO., INC.",Accord,2020,MARYSVILLE,PASSENGER CAR,UNITED STATES (USA),OHIO,Sedan/Saloon,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,4x2,,4,1500,91.53561614,1.5,,Gasoline,Dual Overhead Cam (DOHC),In-Line,,,Direct Fuel Injection,HONDA,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
HONDA,"AMERICAN HONDA MOTOR CO., INC.",Civic,2012,GREENSBURG,PASSENGER CAR,UNITED STATES (USA),INDIANA,Sedan/Saloon,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",Not Applicable,Not Applicable,Not Applicable,,,4,1802.57704,110,1.80257704,104.398,Gasoline,Single Overhead Cam (SOHC),In-Line,140,,,,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Honda,"Civic/CRX, del Sol",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
RAM,FCA US LLC,1500,2016,WARREN,TRUCK ,UNITED STATES (USA),MICHIGAN,Pickup,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",Extra/Super/ Quad/Double/King/Extended,Not Applicable,Not Applicable,4x2,Hydraulic,8,5700,347.8353413,5.7,,Gasoline,,,,,"Sales Code : EZC,EZH",,Manual,1st Row (Driver and Passenger),Light Pickup,Dodge,Ram Pickup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
HYUNDAI,HYUNDAI-KIA AMERICA TECHNICAL CENTER INC (HATCI),Santa Fe,2011,,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),GEORGIA,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,Not Applicable,Not Applicable,4x2,,,2400,146.4569858,2.4,,Gasoline,Dual Overhead Cam (DOHC),,,,,,Manual,1st Row (Driver and Passenger),Compact Utility (Utility Vehicle Categories "Small" and "Midsize"),Hyundai,Santa Fe,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
GMC,GENERAL MOTORS LLC,Yukon,2015,ARLINGTON,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),TEXAS,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)",,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,Hydraulic,8,6200,378.3472134,6.2,,Gasoline,,,,,,,Manual,1st Row (Driver and Passenger),Large utility (ANSI D16.1 Utility Vehicle Categories and "Full Size" and "Large"),GMC,Fullsize Jimmy/Yukon,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
LEXUS,TOYOTA MOTOR CORPORATION,NX,2021,,MULTIPURPOSE PASSENGER VEHICLE (MPV),JAPAN,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,Not Applicable,Not Applicable,4x2,,4,2000,122.0474882,2,175.2395,Gasoline,,In-Line,235,,PORT+DIRECT,,Manual,1st Row (Driver and Passenger),Compact Utility (Utility Vehicle Categories "Small" and "Midsize"),Lexus,NX,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
TOYOTA,"NEW UNITED MOTOR MANUFACTURING, INC.",Corolla,2007,FREMONT,PASSENGER CAR,UNITED STATES (USA),CALIFORNIA,Sedan/Saloon,,Not Applicable,Not Applicable,Not Applicable,4x2,,4,1800,109.8427394,1.8,93.9582,Gasoline,,In-Line,126,,,,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Toyota,Corolla,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
INTERNATIONAL,"BLUE DIAMOND TRUCK, S. DE R. L. DE C. V.",SF625,2018,,INCOMPLETE VEHICLE,MEXICO,ESCOBEDO,Truck,"Class 8: 33,001 lb and above (14,969 kg and above)",MDHD: Conventional,Not Applicable,Not Applicable,6x4,Air,6,8800,537.008948,8.8,193.882,Diesel,,In-Line,260,450,,Cummins,,,"Single-unit straight truck or Cab-Chassis (GVWR greater than 26,000 lbs.)",International Harvester/Navistar,Medium/Heavy - CBE,,,Not Applicable,Not Applicable,Not Applicable,
FORD,"FORD MOTOR COMPANY, USA",Explorer,2013,CHICAGO,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),ILLINOIS,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",,Not Applicable,Not Applicable,,Hydraulic,6,3500,213.5831043,3.5,216.253,Gasoline,,V-Shaped,290,,Ti-VCT,Ford,Manual,1st Row (Driver and Passenger),Compact Utility (Utility Vehicle Categories "Small" and "Midsize"),Ford,"Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
CHEVROLET,GENERAL MOTORS LLC,Silverado,2005,FORT WAYNE,TRUCK ,UNITED STATES (USA),INDIANA,Pickup,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",Extra/Super/ Quad/Double/King/Extended,Not Applicable,Not Applicable,4x2,Hydraulic,6,4300,262.4020996,4.3,,Gasoline,Overhead Valve (OHV),V-Shaped,,,90 Degrees,WRN,,,Light Pickup,Chevrolet,"C, K, R, V-series pickup/Silverado",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
NISSAN,"NISSAN NORTH AMERICA, INC.",Altima,2010,,PASSENGER CAR,UNITED STATES (USA),,Sedan/Saloon,,Not Applicable,Not Applicable,Not Applicable,4x2,,4,2500,152.5593602,2.5,126.769,Gasoline,,,170,175,,,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Nissan/Datsun,Altima,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
TOYOTA,"TOYOTA MOTOR MANUFACTURING, INDIANA, INC.",Sequoia,2002,,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),INDIANA,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",,Not Applicable,Not Applicable,4x2,,8,4663,284.55,4.7,178.968,Gasoline,Dual Overhead Cam (DOHC),V-Shaped,240,284,,Toyota,,,Large utility (ANSI D16.1 Utility Vehicle Categories and "Full Size" and "Large"),Toyota,Sequoia,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
